mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__gamma,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
24.984091917673748,0.051489218907464836,0.6774757703145345,0.003275019535965305,0.46458642328733657,0.10016979469958148,0.010136842528671563,2,9,787,0.5431006508996953,"OrderedDict([('classifier__colsample_bytree', 0.46458642328733657), ('classifier__gamma', 0.10016979469958148), ('classifier__learning_rate', 0.010136842528671563), ('classifier__max_depth', 2), ('classifier__min_child_weight', 9), ('classifier__n_estimators', 787), ('classifier__subsample', 0.5431006508996953)])",0.2031126161827221,0.30549751423013183,0.2404351898551769,0.24968177342267694,0.04230674743503446,1
24.61654194196065,0.06343007219646993,0.45252513885498047,0.015000589257634376,0.769733097493507,0.01,0.03958650449057611,1,10,1000,0.31744867481352007,"OrderedDict([('classifier__colsample_bytree', 0.769733097493507), ('classifier__gamma', 0.01), ('classifier__learning_rate', 0.03958650449057611), ('classifier__max_depth', 1), ('classifier__min_child_weight', 10), ('classifier__n_estimators', 1000), ('classifier__subsample', 0.31744867481352007)])",0.20513005259744937,0.29476187045176167,0.24302903667411196,0.24764031990777435,0.03673702621573087,2
23.59622136751811,0.09264371943849739,0.4398512045542399,0.004684363236574591,0.4628682286208664,8.910025406878324,0.01622979072847223,1,1,993,0.6700597905020242,"OrderedDict([('classifier__colsample_bytree', 0.4628682286208664), ('classifier__gamma', 8.910025406878324), ('classifier__learning_rate', 0.01622979072847223), ('classifier__max_depth', 1), ('classifier__min_child_weight', 1), ('classifier__n_estimators', 993), ('classifier__subsample', 0.6700597905020242)])",0.1986454355501117,0.30946033575906046,0.23380647020678724,0.2473040805053198,0.04623580603751533,3
15.395074923833212,0.022715735795827273,0.4314674536387126,0.009735403288602245,0.09342071867120455,0.01109756487226386,0.10930325557038877,2,1,467,0.4145364831578068,"OrderedDict([('classifier__colsample_bytree', 0.09342071867120455), ('classifier__gamma', 0.01109756487226386), ('classifier__learning_rate', 0.10930325557038877), ('classifier__max_depth', 2), ('classifier__min_child_weight', 1), ('classifier__n_estimators', 467), ('classifier__subsample', 0.4145364831578068)])",0.2082282585200663,0.2737228906981771,0.2593126305929822,0.24708792660374188,0.02810064354844231,4
22.93932827313741,0.07809248495223609,0.4303310712178548,0.003368060073519484,0.12921615824079596,0.10556792041312743,0.023944841834029493,1,10,1000,0.23950745404593501,"OrderedDict([('classifier__colsample_bytree', 0.12921615824079596), ('classifier__gamma', 0.10556792041312743), ('classifier__learning_rate', 0.023944841834029493), ('classifier__max_depth', 1), ('classifier__min_child_weight', 10), ('classifier__n_estimators', 1000), ('classifier__subsample', 0.23950745404593501)])",0.20246415447798832,0.3042005908206643,0.23431082931046907,0.24699185820304057,0.04249064203058924,5
32.43673793474833,0.2157471272915964,1.0056088765462239,0.05238326933940325,0.9123485247518537,8.999999999999998,0.01,3,6,777,0.2564044350451733,"OrderedDict([('classifier__colsample_bytree', 0.9123485247518537), ('classifier__gamma', 8.999999999999998), ('classifier__learning_rate', 0.01), ('classifier__max_depth', 3), ('classifier__min_child_weight', 6), ('classifier__n_estimators', 777), ('classifier__subsample', 0.2564044350451733)])",0.20995748973268968,0.28366597017076156,0.24569493479357302,0.24643946489900811,0.030095966129819133,6
33.59265208244324,0.05943702838311886,0.8481237888336182,0.01393309868311934,0.9089684912683358,6.27007233581828,0.018209044312246594,2,9,999,0.5561538322878619,"OrderedDict([('classifier__colsample_bytree', 0.9089684912683358), ('classifier__gamma', 6.27007233581828), ('classifier__learning_rate', 0.018209044312246594), ('classifier__max_depth', 2), ('classifier__min_child_weight', 9), ('classifier__n_estimators', 999), ('classifier__subsample', 0.5561538322878619)])",0.20498594999639744,0.2828013545644499,0.25037826932776136,0.24605519129620287,0.03191474110577145,7
18.72211178143819,0.03785296295509504,0.3358057339986165,0.002584566533485104,0.5621901531211047,0.010638734139131651,0.01799100283656456,1,7,744,0.06,"OrderedDict([('classifier__colsample_bytree', 0.5621901531211047), ('classifier__gamma', 0.010638734139131651), ('classifier__learning_rate', 0.01799100283656456), ('classifier__max_depth', 1), ('classifier__min_child_weight', 7), ('classifier__n_estimators', 744), ('classifier__subsample', 0.06)])",0.2042654369911377,0.2991569997838461,0.234454931911521,0.2459591228955016,0.03958418859391171,8
22.85040767987569,0.04060398661129406,0.43851836522420246,0.014170979392104136,0.06,0.01,0.034651911803214204,1,5,1000,0.06,"OrderedDict([('classifier__colsample_bytree', 0.06), ('classifier__gamma', 0.01), ('classifier__learning_rate', 0.034651911803214204), ('classifier__max_depth', 1), ('classifier__min_child_weight', 5), ('classifier__n_estimators', 1000), ('classifier__subsample', 0.06)])",0.20721954031270265,0.2929605879386123,0.23719288133150804,0.24579100319427435,0.03552771300147122,9
25.29532527923584,0.434530677446821,0.8179203669230143,0.06329489523272222,0.09547613986790338,8.999999999999998,0.01,3,10,812,0.17974755478651422,"OrderedDict([('classifier__colsample_bytree', 0.09547613986790338), ('classifier__gamma', 8.999999999999998), ('classifier__learning_rate', 0.01), ('classifier__max_depth', 3), ('classifier__min_child_weight', 10), ('classifier__n_estimators', 812), ('classifier__subsample', 0.17974755478651422)])",0.20887672022480006,0.2917357158296707,0.23661647092730023,0.24574296899392367,0.03443712157330667,10
