mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__gamma,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
24.519572575887043,0.1387249462292131,0.37692658106486004,0.0020457264157640502,0.6689668099940596,8.266384081455586,0.09964443419572595,1,10,1000,0.06,"OrderedDict([('classifier__colsample_bytree', 0.6689668099940596), ('classifier__gamma', 8.266384081455586), ('classifier__learning_rate', 0.09964443419572595), ('classifier__max_depth', 1), ('classifier__min_child_weight', 10), ('classifier__n_estimators', 1000), ('classifier__subsample', 0.06)])",0.20440953959218963,0.2791267382376252,0.25715109157720295,0.24689578980233925,0.03135329173814142,1
24.654537280400593,0.21392888143831182,0.44342907269795734,0.0011518737011927136,1.0,0.01,0.06862811041776343,1,10,1000,0.06,"OrderedDict([('classifier__colsample_bytree', 1.0), ('classifier__gamma', 0.01), ('classifier__learning_rate', 0.06862811041776343), ('classifier__max_depth', 1), ('classifier__min_child_weight', 10), ('classifier__n_estimators', 1000), ('classifier__subsample', 0.06)])",0.20923697672742994,0.27465955760501476,0.2556380142661575,0.24651151619953407,0.027477242066737007,2
18.129683017730713,0.09546924640647436,0.36859130859375,0.0015299033325816148,0.06,0.015011103008218485,0.06000763097879718,1,4,734,0.06,"OrderedDict([('classifier__colsample_bytree', 0.06), ('classifier__gamma', 0.015011103008218485), ('classifier__learning_rate', 0.06000763097879718), ('classifier__max_depth', 1), ('classifier__min_child_weight', 4), ('classifier__n_estimators', 734), ('classifier__subsample', 0.06)])",0.20325671878377405,0.2896462281144175,0.2435333957777938,0.24547878089199512,0.03529518591374986,3
13.149733622868856,0.17164800927781249,0.24892361958821616,0.020413942107530465,0.7040479063572458,2.463321873659512,0.053165263293072425,1,10,436,0.06,"OrderedDict([('classifier__colsample_bytree', 0.7040479063572458), ('classifier__gamma', 2.463321873659512), ('classifier__learning_rate', 0.053165263293072425), ('classifier__max_depth', 1), ('classifier__min_child_weight', 10), ('classifier__n_estimators', 436), ('classifier__subsample', 0.06)])",0.2073636429137546,0.28806109950284603,0.24086749765833274,0.24543074669164444,0.033102238658355515,4
24.434022426605225,0.18401762758881324,0.3986751238505046,0.02418575997254001,1.0,8.999999999999998,0.06586092798017248,1,10,1000,0.06,"OrderedDict([('classifier__colsample_bytree', 1.0), ('classifier__gamma', 8.999999999999998), ('classifier__learning_rate', 0.06586092798017248), ('classifier__max_depth', 1), ('classifier__min_child_weight', 10), ('classifier__n_estimators', 1000), ('classifier__subsample', 0.06)])",0.20923697672742994,0.27617263491606026,0.24958570502197563,0.2449984388884886,0.027518210240019436,5
24.510247230529785,0.02703386934870345,0.41466180483500165,0.019892596304363137,1.0,8.999999999999998,0.06314237374939899,1,10,1000,0.06,"OrderedDict([('classifier__colsample_bytree', 1.0), ('classifier__gamma', 8.999999999999998), ('classifier__learning_rate', 0.06314237374939899), ('classifier__max_depth', 1), ('classifier__min_child_weight', 10), ('classifier__n_estimators', 1000), ('classifier__subsample', 0.06)])",0.2104618488363715,0.27538007061027453,0.24670365300093666,0.24418185748252755,0.026562673924750313,6
19.441474358240765,0.10275410046466728,0.3342092037200928,0.0035050221802672542,0.9629737655513517,5.1012761722474975,0.08438279547742075,1,10,726,0.06,"OrderedDict([('classifier__colsample_bytree', 0.9629737655513517), ('classifier__gamma', 5.1012761722474975), ('classifier__learning_rate', 0.08438279547742075), ('classifier__max_depth', 1), ('classifier__min_child_weight', 10), ('classifier__n_estimators', 726), ('classifier__subsample', 0.06)])",0.20332877008430003,0.27833417393183946,0.2504503206282873,0.2440377548814756,0.030954734707052574,7
24.848331054051716,0.0817878085358694,0.45149993896484375,0.0025544606057794675,0.9984226034263024,2.8391504820698352,0.1239684529171391,1,2,965,0.06839655382186205,"OrderedDict([('classifier__colsample_bytree', 0.9984226034263024), ('classifier__gamma', 2.8391504820698352), ('classifier__learning_rate', 0.1239684529171391), ('classifier__max_depth', 1), ('classifier__min_child_weight', 2), ('classifier__n_estimators', 965), ('classifier__subsample', 0.06839655382186205)])",0.19907774335326753,0.2708408386771381,0.2609698105050796,0.24362946417849507,0.03175952529725168,8
23.125906308492024,0.03712344702414761,0.4485498269399007,0.0017245455710423478,0.06,0.01,0.06931390331239086,1,10,1000,0.06,"OrderedDict([('classifier__colsample_bytree', 0.06), ('classifier__gamma', 0.01), ('classifier__learning_rate', 0.06931390331239086), ('classifier__max_depth', 1), ('classifier__min_child_weight', 10), ('classifier__n_estimators', 1000), ('classifier__subsample', 0.06)])",0.2028244109806182,0.2779018661286836,0.24893724331724187,0.24322117347551456,0.030915596481431735,9
40.45251520474752,2.449319106756373,0.9633634090423584,0.027041424891026424,0.6111002219373867,6.46119140858948,0.07402832381553895,6,10,1000,0.5314539602787716,"OrderedDict([('classifier__colsample_bytree', 0.6111002219373867), ('classifier__gamma', 6.46119140858948), ('classifier__learning_rate', 0.07402832381553895), ('classifier__max_depth', 6), ('classifier__min_child_weight', 10), ('classifier__n_estimators', 1000), ('classifier__subsample', 0.5314539602787716)])",0.21053390013689746,0.2526839109445925,0.2661575041429498,0.24312510507481325,0.02369281758814438,10
